SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Telemetry Hourly Rainfall (mm)
51,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,23-05-2022 04:30,9
52,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,23-05-2022 05:30,10.5
53,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,23-05-2022 06:30,14.5
54,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,23-05-2022 07:30,21.5
55,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,23-05-2022 08:30,22.5
56,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,24-05-2022 04:30,1
57,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,24-05-2022 05:30,2
58,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,24-05-2022 09:30,0.5
59,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,24-05-2022 13:30,5.5
60,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,24-05-2022 14:30,5.5
61,Dadahu/Renuka,CWC,2,Himachal Pradesh,24,SIRMAUR,DADAHU(S.T),-,-,Ganga,Ganga,Yamuna,Giri,-,Giri,30.60444444,77.44111111,24-05-2022 17:30,5.5
