suite,variant,scenario_id,scenario,zones,zones_goal_passed,workflow_violations,inventory_over_commit,unsafe_commits,goal_passed,tool_calls,tool_errors,invalid_arguments,redundant_calls,steps,pending_approvals,escalations,mutual_aid_requests,commits,latency_ms,high_severity_needs,high_severity_needs_covered,priority_inversions,confident_wrong_allocations,plan_adherence,plan_check_ok,tot_branch,debate_objections,negotiations,reflexion_revisions,notifications
cvae,stage02_flaky,S01,Baseline river overflow,3,3,0,False,0,True,39,4,0,0,51,2,3,3,0,170.4,6,6,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S02,The 2 AM mission,3,3,0,False,0,True,45,4,0,0,61,3,6,9,0,185.4,9,5,0,0,1.0,True,one_each_then_rank,0,2,0,0
cvae,stage02_flaky,S03,Cyclonic coastal landfall,4,4,0,False,0,True,59,5,0,0,70,3,6,8,0,214.4,8,8,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S04,Urban cloudburst waterlogging,2,2,0,False,0,True,26,2,0,0,36,2,3,1,0,115.2,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S05,Negated flood rumour,2,1,0,False,0,False,20,3,0,0,30,1,1,0,0,130.0,0,0,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S06,Silent rise while residents sleep,2,2,0,False,0,True,16,2,0,0,28,2,2,0,0,75.0,2,2,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S07,Telemetry dropout,3,3,0,False,0,True,29,1,0,0,39,2,3,2,0,62.3,2,2,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S08,Gauge logger malfunction,2,2,0,False,0,True,24,2,0,0,34,1,2,1,0,93.5,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S09,People versus sensors,2,1,0,False,0,False,24,2,0,0,36,2,3,1,0,98.5,2,2,0,0,1.0,True,weighted_round_robin,1,1,0,0
cvae,stage02_flaky,S10,Camera versus gauge,2,2,0,False,0,True,26,4,0,0,36,1,1,0,0,165.5,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S11,Receding but still flooded,2,2,0,False,0,True,24,3,0,0,34,1,1,0,0,166.0,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S12,Bridge collapse isolation,2,2,0,False,0,True,34,3,0,0,46,2,4,6,0,200.4,6,5,0,0,1.0,True,weighted_round_robin,0,1,0,0
cvae,stage02_flaky,S13,Hospital ground floor flooding,2,2,0,False,0,True,29,3,0,0,39,2,3,3,0,188.5,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S14,Night dam spillway release,3,3,0,False,0,True,49,4,0,0,61,3,6,8,0,251.4,9,9,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S15,Five-state monsoon cascade,5,5,0,False,0,True,66,6,0,0,79,4,7,4,0,359.8,9,9,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S16,Out-of-season cloudburst,2,2,0,False,0,True,24,2,0,0,34,1,2,1,0,98.3,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S17,Garbled panic messages,3,3,0,False,0,True,39,3,0,0,50,2,4,4,0,176.3,5,5,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S18,All quiet (do not cry wolf),3,1,0,False,0,False,30,4,0,0,42,0,2,0,0,200.9,0,0,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,S19,"Four hazards, one district",2,2,0,False,0,True,34,2,0,0,45,2,4,6,0,133.1,6,6,0,0,1.0,True,weighted_round_robin,0,0,0,0
cvae,stage02_flaky,S20,"Slow onset, pre-position now",2,2,0,False,0,True,18,2,0,0,29,0,1,0,0,145.8,0,0,0,0,1.0,True,one_each_then_rank,0,0,0,0
cvae,stage02_flaky,W01,Flash flood + municipal blackout,4,4,0,False,0,True,40,3,0,0,56,4,7,7,0,180.4,7,4,0,0,1.0,True,weighted_round_robin,1,2,0,0
slm,agent,S01,Baseline river overflow,3,3,0,False,0,True,34,0,0,0,45,2,4,1,0,206.6,6,6,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S02,The 2 AM mission,3,3,0,False,0,True,39,0,0,0,57,3,6,9,0,197.0,9,5,0,0,1.0,True,weighted_round_robin,0,2,0,0
slm,agent,S03,Cyclonic coastal landfall,4,4,0,False,0,True,56,0,0,0,67,3,7,8,0,246.2,9,9,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S04,Urban cloudburst waterlogging,2,2,0,False,0,True,24,0,0,0,34,1,3,1,0,170.9,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S05,Negated flood rumour,2,0,0,False,0,False,19,0,0,0,32,0,2,0,0,167.8,0,0,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S06,Silent rise while residents sleep,2,2,0,False,0,True,14,0,0,0,26,2,2,0,0,135.2,2,2,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S07,Telemetry dropout,3,2,0,False,0,False,19,0,0,0,34,0,0,0,0,98.4,0,0,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S08,Gauge logger malfunction,2,2,0,False,0,True,22,0,0,0,32,1,2,1,0,119.8,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S09,People versus sensors,2,0,0,False,0,False,25,0,0,0,35,1,3,3,0,152.7,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S10,Camera versus gauge,2,1,0,False,0,False,22,0,0,0,32,1,2,0,0,220.3,2,2,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S11,Receding but still flooded,2,2,0,False,0,True,21,0,0,0,31,1,1,0,0,111.2,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S12,Bridge collapse isolation,2,2,0,False,0,True,30,0,0,0,42,2,4,6,0,155.0,6,5,1,1,1.0,True,one_each_then_rank,0,1,0,0
slm,agent,S13,Hospital ground floor flooding,2,2,0,False,0,True,25,0,0,0,35,1,2,3,0,104.4,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S14,Night dam spillway release,3,3,0,False,0,True,44,0,0,0,56,3,6,8,0,161.7,8,8,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S15,Five-state monsoon cascade,5,5,0,False,0,True,57,0,0,0,73,3,7,4,0,305.3,9,9,0,0,1.0,True,weighted_round_robin,0,0,0,0
slm,agent,S16,Out-of-season cloudburst,2,2,0,False,0,True,23,0,0,0,33,1,3,1,0,129.7,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S17,Garbled panic messages,3,3,0,False,0,True,37,0,0,0,49,2,5,4,0,208.5,6,6,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S18,All quiet (do not cry wolf),3,1,0,False,0,False,26,0,0,0,38,0,2,0,0,219.0,0,0,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S19,"Four hazards, one district",2,2,0,False,0,True,30,0,0,0,40,2,4,5,0,145.4,5,5,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,S20,"Slow onset, pre-position now",2,2,0,False,0,True,21,0,0,0,31,1,2,0,0,119.2,3,3,0,0,1.0,True,one_each_then_rank,0,0,0,0
slm,agent,W01,Flash flood + municipal blackout,4,4,0,False,0,True,35,0,0,0,51,4,7,6,0,126.2,6,3,0,0,1.0,True,one_each_then_rank,0,2,0,0
